gc_scaled,gc_comp
8,40
9,41
10,42
11,43
12,44
13,45
14,46
15,47
16,48
17,49
18,50
19,51
20,52
21,53
22,54
23,55
24,56
25,57
26,58
27,59
28,60
29,60
30,61
31,62
32,63
33,64
34,65
35,66
36,67
37,68
38,69
39,70
40,70
41,71
42,72
43,72
44,73
45,74
46,74
47,75
48,76
49,76
50,77
51,78
52,78
53,79
54,80
55,80
56,81
57,82
58,83
59,83
60,84
61,85
62,85
63,86
64,87
65,88
66,88
67,89
68,90
69,91
70,91
71,92
72,93
73,94
74,95
75,95
76,96
77,97
78,98
79,99
80,100
81,101
82,102
83,103
84,104
85,105
86,106
87,107
88,108
89,109
90,110
91,111
92,112
93,113
94,114
95,115
96,116
97,117
98,118
99,119
100,120
101,121
102,122
103,123
104,124
105,125
106,126
107,127
108,128
109,129
110,130
111,131
112,132
113,133
114,134
115,135
116,136
117,137
118,138
119,139
120,140
121,141
122,142
123,143
124,144
125,145
126,146
127,147
128,148
129,149
130,150
131,151
132,152
133,153
134,154
135,155
136,156
137,157
138,158
139,159
140,160
141,160
142,160
143,160
144,160
145,160
146,160
147,160
148,160
149,160
150,160
151,160
152,160
