min_age,max_age,spe_raw,spe_scaled,syn_raw,syn_scaled,sem_raw,sem_scaled,coh_raw,coh_scaled,ini_raw,ini_scaled,scr_lan_raw,scr_lan_scaled,contx_raw,contx_scaled,nvc_raw,nvc_scaled,soc_rel_raw,soc_rel_scaled,int_raw,int_scaled
48,50,0,14,0,14,0,18,0,18,0,19,0,15,0,16,0,14,0,14,0,18
48,50,1,13,1,12,1,16,1,15,1,17,1,13,1,15,1,12,1,12,1,16
48,50,2,12,2,11,2,15,2,12,2,15,2,12,2,14,2,11,2,11,2,15
48,50,3,11,3,10,3,13,3,11,3,14,3,11,3,13,3,10,3,10,3,14
48,50,4,10,4,10,4,12,4,10,4,14,4,10,4,12,4,9,4,9,4,13
48,50,5,10,5,9,5,11,5,10,5,13,5,9,5,12,5,8,5,8,5,12
48,50,6,9,6,9,6,10,6,6,6,12,6,8,6,11,6,8,6,8,6,11
48,50,7,9,7,8,7,9,7,6,7,11,7,7,7,10,7,7,7,7,7,10
48,50,8,9,8,8,8,8,8,5,8,10,8,6,8,9,8,6,8,6,8,9
48,50,9,8,9,8,9,7,9,7,9,10,9,5,9,8,9,5,9,5,9,8
48,50,10,8,10,7,10,6,10,7,10,9,10,5,10,8,10,4,10,4,10,7
48,50,11,7,11,7,11,6,11,6,11,8,11,4,11,7,11,4,11,4,11,6
48,50,12,7,12,6,12,5,12,5,12,7,12,4,12,6,12,3,12,3,12,5
48,50,13,6,13,5,13,4,13,5,13,7,13,3,13,5,13,3,13,3,13,5
48,50,14,6,14,5,14,3,14,4,14,6,14,3,14,4,14,3,14,2,14,4
48,50,15,5,15,4,15,3,15,4,15,5,15,2,15,4,15,2,15,1,15,3
48,50,16,5,16,4,16,2,16,3,16,5,16,2,16,3,16,1,16,1,16,3
48,50,17,4,17,4,17,2,17,3,17,4,17,1,17,2,17,1,17,1,17,2
48,50,18,4,18,3,18,1,18,3,18,3,18,1,18,2,18,1,18,1,18,1
48,50,19,3,19,3,19,1,19,2,19,3,19,1,19,1,19,1,19,1,19,1
48,50,20,3,20,2,20,1,20,2,20,2,20,1,20,1,20,1,20,1,20,1
48,50,21,2,21,1,21,1,21,1,21,1,21,1,21,1,21,1,21,1,21,1
51,53,0,14,0,14,0,18,0,17,0,19,0,15,0,16,0,14,0,14,0,18
51,53,1,13,1,12,1,16,1,14,1,17,1,13,1,15,1,12,1,12,1,16
51,53,2,12,2,11,2,15,2,12,2,15,2,12,2,14,2,11,2,11,2,15
51,53,3,11,3,10,3,13,3,11,3,14,3,11,3,13,3,10,3,10,3,14
51,53,4,10,4,9,4,12,4,10,4,14,4,10,4,12,4,9,4,9,4,13
51,53,5,10,5,9,5,11,5,10,5,13,5,9,5,11,5,8,5,8,5,12
51,53,6,9,6,9,6,10,6,9,6,12,6,8,6,11,6,8,6,8,6,11
51,53,7,9,7,8,7,9,7,9,7,11,7,7,7,10,7,7,7,7,7,10
51,53,8,8,8,8,8,8,8,8,8,10,8,6,8,9,8,6,8,6,8,9
51,53,9,8,9,8,9,7,9,7,9,9,9,5,9,8,9,5,9,5,9,8
51,53,10,8,10,7,10,6,10,7,10,9,10,5,10,8,10,4,10,4,10,7
51,53,11,7,11,7,11,6,11,6,11,8,11,4,11,7,11,4,11,4,11,6
51,53,12,7,12,6,12,5,12,5,12,7,12,4,12,6,12,3,12,3,12,5
51,53,13,6,13,5,13,4,13,5,13,7,13,3,13,5,13,3,13,3,13,5
51,53,14,5,14,5,14,3,14,4,14,6,14,3,14,4,14,3,14,2,14,4
51,53,15,5,15,4,15,3,15,4,15,5,15,2,15,4,15,2,15,1,15,3
51,53,16,4,16,4,16,2,16,3,16,5,16,2,16,3,16,1,16,1,16,3
51,53,17,4,17,3,17,2,17,3,17,4,17,1,17,2,17,1,17,1,17,2
