fyi_risk,fyi_ptile
0,5
1,12
1.125,14
1.375,17
1.625,19
1.875,20
2.125,21
2.25,22
2.375,23
2.5,27
2.625,29
3,30
3.25,31
3.375,32
3.5,34
3.625,35
3.75,36
3.875,38
4.25,39
4.375,42
4.625,43
4.75,44
4.875,45
5,46
5.125,47
5.375,48
5.5,49
5.75,50
5.875,51
6,52
6.125,53
6.25,54
6.375,55
6.625,56
6.875,57
7,58
7.125,59
7.25,60
7.375,61
7.625,62
7.875,63
8,64
8.125,65
8.25,66
8.5,67
8.625,68
8.875,69
9,70
9.25,71
9.375,72
9.625,73
9.75,74
10,75
10.25,76
10.375,77
10.5,78
10.75,79
11,80
11.25,81
11.5,82
11.875,83
12.125,84
12.375,85
12.75,86
13,87
13.375,88
13.75,89
14.25,90
14.625,91
15,92
15.875,93
17,94
17.75,95
19,96
20.5,97
22.625,98
26.25,99
