mcdi_egestures_raw,gender,age,mcdi_egestures_inter_ptile
0,F,6,<5
1,F,6,5
2,F,6,10
3,F,6,12.5
4,F,6,15
5,F,6,30
6,F,6,45
7,F,6,50
8,F,6,65
9,F,6,70
10,F,6,80
11,F,6,90
12,F,6,92.5
13,F,6,95
14,F,6,97.5
15,F,6,99
16,F,6,>99
17,F,6,>99
18,F,6,>99
0,F,7,<5
1,F,7,5
2,F,7,10
3,F,7,12.5
4,F,7,15
5,F,7,30
6,F,7,45
7,F,7,50
8,F,7,65
9,F,7,70
10,F,7,80
11,F,7,90
12,F,7,92.5
13,F,7,95
14,F,7,97.5
15,F,7,99
16,F,7,>99
17,F,7,>99
18,F,7,>99
0,F,8,<5
1,F,8,5
2,F,8,10
3,F,8,12.5
4,F,8,15
5,F,8,30
6,F,8,45
7,F,8,50
8,F,8,65
9,F,8,70
10,F,8,80
11,F,8,90
12,F,8,92.5
13,F,8,95
14,F,8,97.5
15,F,8,99
16,F,8,>99
17,F,8,>99
18,F,8,>99
0,F,9,<5
1,F,9,<5
2,F,9,5
3,F,9,10
4,F,9,12.5
5,F,9,15
6,F,9,30
7,F,9,45
8,F,9,50
9,F,9,65
10,F,9,67.5
11,F,9,80
12,F,9,85
13,F,9,90
14,F,9,95
15,F,9,97.5
16,F,9,99
17,F,9,>99
18,F,9,>99
0,F,10,<5
1,F,10,<5
2,F,10,<5
3,F,10,5
4,F,10,10
5,F,10,12.5
6,F,10,15
7,F,10,25
8,F,10,40
9,F,10,50
10,F,10,60
11,F,10,65
12,F,10,80
13,F,10,85
14,F,10,90
15,F,10,95
16,F,10,99
17,F,10,>99
18,F,10,>99
0,F,11,<5
1,F,11,<5
2,F,11,<5
3,F,11,<5
4,F,11,5
5,F,11,7.5
6,F,11,10
7,F,11,12.5
8,F,11,25
9,F,11,35
10,F,11,50
11,F,11,60
12,F,11,65
13,F,11,80
14,F,11,85
15,F,11,90
16,F,11,95
17,F,11,99
18,F,11,>99
0,F,12,<5
1,F,12,<5
2,F,12,<5
3,F,12,<5
4,F,12,<5
5,F,12,<5
6,F,12,5
7,F,12,10
8,F,12,12.5
9,F,12,20
10,F,12,35
11,F,12,50
12,F,12,60
13,F,12,70
14,F,12,80
15,F,12,90
16,F,12,95
17,F,12,99
18,F,12,>99
0,F,13,<5
1,F,13,<5
2,F,13,<5
3,F,13,<5
4,F,13,<5
5,F,13,<5
6,F,13,<5
7,F,13,<5
8,F,13,5
9,F,13,10
10,F,13,15
11,F,13,30
12,F,13,45
13,F,13,60
14,F,13,70
15,F,13,85
16,F,13,90
17,F,13,95
18,F,13,99
0,F,14,<5
1,F,14,<5
2,F,14,<5
3,F,14,<5
4,F,14,<5
5,F,14,<5
6,F,14,<5
7,F,14,<5
8,F,14,<5
9,F,14,<5
10,F,14,5
11,F,14,15
12,F,14,25
13,F,14,45
14,F,14,60
15,F,14,75
16,F,14,85
17,F,14,95
18,F,14,99
0,F,15,<5
1,F,15,<5
2,F,15,<5
3,F,15,<5
4,F,15,<5
5,F,15,<5
6,F,15,<5
7,F,15,<5
8,F,15,<5
