mcdi_lgestures_raw,gender,age,mcdi_lgestures_inter_ptile
1,M,6,15
2,M,6,35
3,M,6,45
4,M,6,50
5,M,6,75
6,M,6,77.5
7,M,6,80
8,M,6,82.5
9,M,6,85
10,M,6,90
11,M,6,91.667
12,M,6,93.333
13,M,6,95
14,M,6,99
15,M,6,>99
16,M,6,>99
17,M,6,>99
18,M,6,>99
19,M,6,>99
20,M,6,>99
21,M,6,>99
22,M,6,>99
23,M,6,>99
24,M,6,>99
25,M,6,>99
26,M,6,>99
27,M,6,>99
28,M,6,>99
29,M,6,>99
30,M,6,>99
31,M,6,>99
32,M,6,>99
33,M,6,>99
34,M,6,>99
35,M,6,>99
36,M,6,>99
37,M,6,>99
38,M,6,>99
39,M,6,>99
40,M,6,>99
41,M,6,>99
42,M,6,>99
43,M,6,>99
44,M,6,>99
45,M,6,>99
1,M,7,15
2,M,7,35
3,M,7,45
4,M,7,50
5,M,7,75
6,M,7,77.5
7,M,7,80
8,M,7,82.5
9,M,7,85
10,M,7,90
11,M,7,91.667
12,M,7,93.333
13,M,7,95
14,M,7,99
15,M,7,>99
16,M,7,>99
17,M,7,>99
18,M,7,>99
19,M,7,>99
20,M,7,>99
21,M,7,>99
22,M,7,>99
23,M,7,>99
24,M,7,>99
25,M,7,>99
26,M,7,>99
27,M,7,>99
28,M,7,>99
29,M,7,>99
30,M,7,>99
31,M,7,>99
32,M,7,>99
33,M,7,>99
34,M,7,>99
35,M,7,>99
36,M,7,>99
37,M,7,>99
38,M,7,>99
39,M,7,>99
40,M,7,>99
41,M,7,>99
42,M,7,>99
43,M,7,>99
44,M,7,>99
45,M,7,>99
1,M,8,15
2,M,8,35
3,M,8,45
4,M,8,50
5,M,8,75
6,M,8,77.5
7,M,8,80
8,M,8,82.5
9,M,8,85
10,M,8,90
11,M,8,91.667
12,M,8,93.333
13,M,8,95
14,M,8,99
15,M,8,>99
16,M,8,>99
17,M,8,>99
18,M,8,>99
19,M,8,>99
20,M,8,>99
21,M,8,>99
22,M,8,>99
23,M,8,>99
24,M,8,>99
25,M,8,>99
26,M,8,>99
27,M,8,>99
28,M,8,>99
29,M,8,>99
30,M,8,>99
31,M,8,>99
32,M,8,>99
33,M,8,>99
34,M,8,>99
35,M,8,>99
36,M,8,>99
37,M,8,>99
38,M,8,>99
39,M,8,>99
40,M,8,>99
41,M,8,>99
42,M,8,>99
43,M,8,>99
44,M,8,>99
45,M,8,>99
1,M,9,5
2,M,9,15
3,M,9,30
4,M,9,40
5,M,9,50
6,M,9,60
7,M,9,65
8,M,9,75
9,M,9,80
10,M,9,82.5
11,M,9,85
12,M,9,87.5
13,M,9,90
14,M,9,91.667
15,M,9,93.333
16,M,9,95
17,M,9,97.5
18,M,9,99
19,M,9,>99
20,M,9,>99
21,M,9,>99
22,M,9,>99
23,M,9,>99
24,M,9,>99
25,M,9,>99
26,M,9,>99
27,M,9,>99
28,M,9,>99
29,M,9,>99
30,M,9,>99
31,M,9,>99
32,M,9,>99
33,M,9,>99
34,M,9,>99
35,M,9,>99
36,M,9,>99
37,M,9,>99
38,M,9,>99
39,M,9,>99
40,M,9,>99
41,M,9,>99
