mcdi_phrases_raw,gender,age,mcdi_phrases_inter_ptile
0,F,6,<5
1,F,6,10
2,F,6,15
3,F,6,25
4,F,6,30
5,F,6,40
6,F,6,42.5
7,F,6,55
8,F,6,60
9,F,6,62.5
10,F,6,70
11,F,6,72.5
12,F,6,75
13,F,6,80
14,F,6,85
15,F,6,90
16,F,6,91.25
17,F,6,92.5
18,F,6,93.75
19,F,6,95
20,F,6,95.833
21,F,6,96.667
22,F,6,97.5
23,F,6,98.333
24,F,6,99.167
25,F,6,>99
26,F,6,>99
27,F,6,>99
28,F,6,>99
0,M,6,<5
1,M,6,5
2,M,6,15
3,M,6,25
4,M,6,30
5,M,6,45
6,M,6,50
7,M,6,60
8,M,6,65
9,M,6,75
10,M,6,77.5
11,M,6,80
12,M,6,82.5
13,M,6,90
14,M,6,90.833
15,M,6,91.667
16,M,6,92.5
17,M,6,93.333
18,M,6,94.167
19,M,6,95
20,M,6,96
21,M,6,97
22,M,6,98
23,M,6,99
24,M,6,>99
25,M,6,>99
26,M,6,>99
27,M,6,>99
28,M,6,>99
0,F,7,<5
1,F,7,10
2,F,7,15
3,F,7,25
4,F,7,30
5,F,7,40
6,F,7,42.5
7,F,7,55
8,F,7,60
9,F,7,62.5
10,F,7,70
11,F,7,72.5
12,F,7,75
13,F,7,80
14,F,7,85
15,F,7,90
16,F,7,91.25
17,F,7,92.5
18,F,7,93.75
19,F,7,95
20,F,7,95.833
21,F,7,96.667
22,F,7,97.5
23,F,7,98.333
24,F,7,99.167
25,F,7,>99
26,F,7,>99
27,F,7,>99
28,F,7,>99
0,M,7,<5
1,M,7,5
2,M,7,15
3,M,7,25
4,M,7,30
5,M,7,45
6,M,7,50
7,M,7,60
8,M,7,65
9,M,7,75
10,M,7,77.5
11,M,7,80
12,M,7,82.5
13,M,7,90
14,M,7,90.833
15,M,7,91.667
16,M,7,92.5
17,M,7,93.333
18,M,7,94.167
19,M,7,95
20,M,7,96
21,M,7,97
22,M,7,98
23,M,7,99
24,M,7,>99
25,M,7,>99
26,M,7,>99
27,M,7,>99
28,M,7,>99
0,F,8,<5
1,F,8,10
2,F,8,15
3,F,8,25
4,F,8,30
5,F,8,40
6,F,8,42.5
7,F,8,55
8,F,8,60
9,F,8,62.5
10,F,8,70
11,F,8,72.5
12,F,8,75
13,F,8,80
14,F,8,85
15,F,8,90
16,F,8,91.25
17,F,8,92.5
18,F,8,93.75
19,F,8,95
20,F,8,95.833
21,F,8,96.667
22,F,8,97.5
23,F,8,98.333
24,F,8,99.167
25,F,8,>99
26,F,8,>99
27,F,8,>99
28,F,8,>99
0,M,8,<5
1,M,8,5
2,M,8,15
3,M,8,25
4,M,8,30
5,M,8,45
6,M,8,50
7,M,8,60
8,M,8,65
9,M,8,75
10,M,8,77.5
11,M,8,80
12,M,8,82.5
13,M,8,90
14,M,8,90.833
15,M,8,91.667
16,M,8,92.5
17,M,8,93.333
18,M,8,94.167
19,M,8,95
20,M,8,96
21,M,8,97
22,M,8,98
23,M,8,99
24,M,8,>99
25,M,8,>99
26,M,8,>99
27,M,8,>99
28,M,8,>99
0,F,9,<5
1,F,9,<5
2,F,9,10
3,F,9,15
4,F,9,20
5,F,9,25
6,F,9,35
7,F,9,40
8,F,9,42.5
9,F,9,55
10,F,9,57.5
11,F,9,60
12,F,9,65
13,F,9,70
14,F,9,75
15,F,9,77.5
16,F,9,80
17,F,9,85
18,F,9,90
19,F,9,91.667
20,F,9,93.333
21,F,9,95
22,F,9,96
23,F,9,97
24,F,9,98
25,F,9,99
26,F,9,>99
27,F,9,>99
28,F,9,>99
0,M,9,<5
1,M,9,5
2,M,9,15
3,M,9,17.5
4,M,9,25
5,M,9,30
6,M,9,40
7,M,9,45
8,M,9,50
9,M,9,60
10,M,9,65
11,M,9,70
12,M,9,75
13,M,9,80
14,M,9,82.5
15,M,9,85
16,M,9,90
17,M,9,91
18,M,9,92
19,M,9,93
20,M,9,94
21,M,9,95
22,M,9,96.25
23,M,9,97.5
24,M,9,98.75
25,M,9,99
26,M,9,>99
27,M,9,>99
28,M,9,>99
0,F,10,<5
1,F,10,<5
2,F,10,5
3,F,10,10
4,F,10,15
5,F,10,17.5
6,F,10,25
7,F,10,27.5
8,F,10,35
9,F,10,40
10,F,10,42.5
11,F,10,50
12,F,10,55
13,F,10,60
14,F,10,62.5
15,F,10,65
16,F,10,70
17,F,10,75
18,F,10,80
