mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
0,F,6,<5
1,F,6,<5
2,F,6,5
3,F,6,6.667
4,F,6,8.333
5,F,6,15
6,F,6,20
7,F,6,30
8,F,6,40
9,F,6,42.5
10,F,6,50
11,F,6,55
12,F,6,57.5
13,F,6,60
14,F,6,65
15,F,6,75
16,F,6,76.667
17,F,6,78.333
18,F,6,80
19,F,6,85
20,F,6,90
21,F,6,91
22,F,6,92
23,F,6,93
24,F,6,94
25,F,6,95
26,F,6,96
27,F,6,97
28,F,6,98
29,F,6,99
30,F,6,>99
31,F,6,>99
32,F,6,>99
33,F,6,>99
34,F,6,>99
35,F,6,>99
36,F,6,>99
37,F,6,>99
38,F,6,>99
39,F,6,>99
40,F,6,>99
41,F,6,>99
42,F,6,>99
43,F,6,>99
44,F,6,>99
45,F,6,>99
46,F,6,>99
47,F,6,>99
48,F,6,>99
49,F,6,>99
50,F,6,>99
51,F,6,>99
52,F,6,>99
53,F,6,>99
54,F,6,>99
55,F,6,>99
56,F,6,>99
57,F,6,>99
58,F,6,>99
59,F,6,>99
60,F,6,>99
61,F,6,>99
62,F,6,>99
63,F,6,>99
0,F,7,<5
1,F,7,<5
2,F,7,5
3,F,7,6.667
4,F,7,8.333
5,F,7,15
6,F,7,20
7,F,7,30
8,F,7,40
9,F,7,42.5
10,F,7,50
11,F,7,55
12,F,7,57.5
13,F,7,60
14,F,7,65
15,F,7,75
16,F,7,76.667
17,F,7,78.333
18,F,7,80
19,F,7,85
20,F,7,90
21,F,7,91
22,F,7,92
23,F,7,93
24,F,7,94
25,F,7,95
26,F,7,96
27,F,7,97
28,F,7,98
29,F,7,99
30,F,7,>99
31,F,7,>99
32,F,7,>99
33,F,7,>99
34,F,7,>99
35,F,7,>99
36,F,7,>99
37,F,7,>99
38,F,7,>99
39,F,7,>99
40,F,7,>99
41,F,7,>99
42,F,7,>99
43,F,7,>99
44,F,7,>99
45,F,7,>99
46,F,7,>99
47,F,7,>99
48,F,7,>99
49,F,7,>99
50,F,7,>99
51,F,7,>99
52,F,7,>99
53,F,7,>99
54,F,7,>99
55,F,7,>99
56,F,7,>99
57,F,7,>99
58,F,7,>99
59,F,7,>99
60,F,7,>99
61,F,7,>99
62,F,7,>99
63,F,7,>99
0,F,8,<5
1,F,8,<5
2,F,8,5
3,F,8,6.667
4,F,8,8.333
5,F,8,15
6,F,8,20
7,F,8,30
8,F,8,40
9,F,8,42.5
10,F,8,50
11,F,8,55
12,F,8,57.5
13,F,8,60
14,F,8,65
15,F,8,75
16,F,8,76.667
17,F,8,78.333
18,F,8,80
19,F,8,85
20,F,8,90
21,F,8,91
22,F,8,92
23,F,8,93
24,F,8,94
25,F,8,95
26,F,8,96
27,F,8,97
28,F,8,98
29,F,8,99
30,F,8,>99
31,F,8,>99
32,F,8,>99
33,F,8,>99
34,F,8,>99
35,F,8,>99
36,F,8,>99
37,F,8,>99
38,F,8,>99
39,F,8,>99
40,F,8,>99
41,F,8,>99
42,F,8,>99
43,F,8,>99
44,F,8,>99
45,F,8,>99
46,F,8,>99
47,F,8,>99
