mcdi_m3l_raw,gender,mcdi_m3l_inter_ptile_within,mcdi_m3l_inter_ptile_both
1,F,<5,<5
1.001,F,<5,<5
1.002,F,<5,<5
1.003,F,<5,<5
1.004,F,<5,<5
1.005,F,<5,<5
1.006,F,<5,<5
1.007,F,<5,<5
1.008,F,<5,<5
1.009,F,<5,<5
1.01,F,<5,<5
1.011,F,<5,<5
1.012,F,<5,<5
1.013,F,<5,<5
1.014,F,<5,<5
1.015,F,<5,<5
1.016,F,<5,<5
1.017,F,<5,<5
1.018,F,<5,<5
1.019,F,<5,<5
1.02,F,<5,<5
1.021,F,<5,<5
1.022,F,<5,<5
1.023,F,<5,<5
1.024,F,<5,<5
1.025,F,<5,<5
1.026,F,<5,<5
1.027,F,<5,<5
1.028,F,<5,<5
1.029,F,<5,<5
1.03,F,<5,<5
1.031,F,<5,<5
1.032,F,<5,<5
1.033,F,<5,<5
1.034,F,<5,<5
1.035,F,<5,<5
1.036,F,<5,<5
1.037,F,<5,<5
1.038,F,<5,<5
1.039,F,<5,<5
1.04,F,<5,<5
1.041,F,<5,<5
1.042,F,<5,<5
1.043,F,<5,<5
1.044,F,<5,<5
1.045,F,<5,<5
1.046,F,<5,<5
1.047,F,<5,<5
1.048,F,<5,<5
1.049,F,<5,<5
1.05,F,<5,<5
1.051,F,<5,<5
1.052,F,<5,<5
1.053,F,<5,<5
1.054,F,<5,<5
1.055,F,<5,<5
1.056,F,<5,<5
1.057,F,<5,<5
1.058,F,<5,<5
1.059,F,<5,<5
1.06,F,<5,<5
1.061,F,<5,<5
1.062,F,<5,<5
1.063,F,<5,<5
1.064,F,<5,<5
1.065,F,<5,<5
1.066,F,<5,<5
1.067,F,<5,<5
1.068,F,<5,<5
1.069,F,<5,<5
1.07,F,<5,<5
1.071,F,<5,<5
1.072,F,<5,<5
1.073,F,<5,<5
1.074,F,<5,<5
1.075,F,<5,<5
1.076,F,<5,<5
1.077,F,<5,<5
1.078,F,<5,<5
1.079,F,<5,<5
1.08,F,<5,<5
1.081,F,<5,<5
1.082,F,<5,<5
1.083,F,<5,<5
1.084,F,<5,<5
1.085,F,<5,<5
1.086,F,<5,<5
1.087,F,<5,<5
1.088,F,<5,<5
1.089,F,<5,<5
1.09,F,<5,<5
1.091,F,<5,<5
1.092,F,<5,<5
1.093,F,<5,<5
1.094,F,<5,<5
1.095,F,<5,<5
1.096,F,<5,<5
1.097,F,<5,<5
1.098,F,<5,<5
1.099,F,<5,<5
1.1,F,<5,<5
1.101,F,<5,<5
1.102,F,<5,<5
1.103,F,<5,<5
1.104,F,<5,<5
1.105,F,<5,<5
1.106,F,<5,<5
1.107,F,<5,<5
1.108,F,<5,<5
1.109,F,<5,<5
1.11,F,<5,<5
1.111,F,<5,<5
1.112,F,<5,<5
1.113,F,<5,<5
1.114,F,<5,<5
1.115,F,<5,<5
1.116,F,<5,<5
1.117,F,<5,<5
1.118,F,<5,<5
1.119,F,<5,<5
1.12,F,<5,<5
1.121,F,<5,<5
1.122,F,<5,<5
1.123,F,<5,<5
1.124,F,<5,<5
1.125,F,<5,<5
1.126,F,<5,<5
1.127,F,<5,<5
1.128,F,<5,<5
1.129,F,<5,<5
1.13,F,<5,<5
1.131,F,<5,<5
1.132,F,<5,<5
1.133,F,<5,<5
1.134,F,<5,<5
1.135,F,<5,<5
1.136,F,<5,<5
1.137,F,<5,<5
1.138,F,<5,<5
1.139,F,<5,<5
1.14,F,<5,<5
1.141,F,<5,<5
1.142,F,<5,<5
1.143,F,<5,<5
1.144,F,<5,<5
1.145,F,<5,<5
1.146,F,<5,<5
1.147,F,<5,<5
1.148,F,<5,<5
1.149,F,<5,<5
1.15,F,<5,<5
1.151,F,<5,<5
1.152,F,<5,<5
1.153,F,<5,<5
1.154,F,<5,<5
1.155,F,<5,<5
1.156,F,<5,<5
1.157,F,<5,<5
1.158,F,<5,<5
1.159,F,<5,<5
1.16,F,<5,<5
1.161,F,<5,<5
1.162,F,<5,<5
1.163,F,<5,<5
1.164,F,<5,<5
1.165,F,<5,<5
1.166,F,<5,<5
1.167,F,<5,<5
1.168,F,<5,<5
1.169,F,<5,<5
1.17,F,<5,<5
1.171,F,<5,<5
1.172,F,<5,<5
1.173,F,<5,<5
1.174,F,<5,<5
1.175,F,<5,<5
1.176,F,<5,<5
1.177,F,<5,<5
1.178,F,<5,<5
1.179,F,<5,<5
1.18,F,<5,<5
1.181,F,<5,<5
1.182,F,<5,<5
1.183,F,<5,<5
1.184,F,<5,<5
1.185,F,<5,<5
1.186,F,<5,<5
1.187,F,<5,<5
1.188,F,<5,<5
1.189,F,<5,<5
1.19,F,<5,<5
1.191,F,<5,<5
1.192,F,<5,<5
1.193,F,<5,<5
1.194,F,<5,<5
1.195,F,<5,<5
1.196,F,<5,<5
1.197,F,<5,<5
1.198,F,<5,<5
1.199,F,<5,<5
1.2,F,<5,<5
1.201,F,<5,<5
1.202,F,<5,<5
1.203,F,<5,<5
1.204,F,<5,<5
1.205,F,<5,<5
1.206,F,<5,<5
1.207,F,<5,<5
1.208,F,<5,<5
1.209,F,<5,<5
1.21,F,<5,<5
1.211,F,<5,<5
1.212,F,<5,<5
1.213,F,<5,<5
1.214,F,<5,<5
1.215,F,<5,<5
1.216,F,<5,<5
1.217,F,<5,<5
1.218,F,<5,<5
1.219,F,<5,<5
1.22,F,<5,<5
1.221,F,<5,<5
1.222,F,<5,<5
1.223,F,<5,<5
1.224,F,<5,<5
1.225,F,<5,<5
1.226,F,<5,<5
1.227,F,<5,<5
1.228,F,<5,<5
1.229,F,<5,<5
1.23,F,<5,<5
1.231,F,<5,<5
1.232,F,<5,<5
1.233,F,<5,<5
1.234,F,<5,<5
1.235,F,<5,<5
1.236,F,<5,<5
1.237,F,<5,<5
1.238,F,<5,<5
1.239,F,<5,<5
1.24,F,<5,<5
1.241,F,<5,<5
1.242,F,<5,<5
1.243,F,<5,<5
1.244,F,<5,<5
1.245,F,<5,<5
1.246,F,<5,<5
1.247,F,<5,<5
1.248,F,<5,<5
