mcdi_wordendings_raw,gender,age,mcdi_wordendings_inter_ptile_within,mcdi_wordendings_inter_ptile_both
0,M,16,95,90
1,M,16,96.667,92.5
2,M,16,98.333,95
3,M,16,99,96.25
4,M,16,>99,97.5
5,M,16,>99,98.75
6,M,16,>99,99
7,M,16,>99,>99
8,M,16,>99,>99
9,M,16,>99,>99
10,M,16,>99,>99
11,M,16,>99,>99
12,M,16,>99,>99
13,M,16,>99,>99
14,M,16,>99,>99
15,M,16,>99,>99
16,M,16,>99,>99
17,M,16,>99,>99
18,M,16,>99,>99
19,M,16,>99,>99
20,M,16,>99,>99
21,M,16,>99,>99
22,M,16,>99,>99
23,M,16,>99,>99
24,M,16,>99,>99
25,M,16,>99,>99
26,M,16,>99,>99
27,M,16,>99,>99
28,M,16,>99,>99
29,M,16,>99,>99
30,M,16,>99,>99
31,M,16,>99,>99
32,M,16,>99,>99
33,M,16,>99,>99
34,M,16,>99,>99
35,M,16,>99,>99
36,M,16,>99,>99
37,M,16,>99,>99
38,M,16,>99,>99
39,M,16,>99,>99
40,M,16,>99,>99
41,M,16,>99,>99
42,M,16,>99,>99
43,M,16,>99,>99
44,M,16,>99,>99
45,M,16,>99,>99
0,M,17,95,90
1,M,17,96.25,92.5
2,M,17,97.5,95
3,M,17,98.75,96
4,M,17,99,97
5,M,17,>99,98
6,M,17,>99,99
7,M,17,>99,>99
8,M,17,>99,>99
9,M,17,>99,>99
10,M,17,>99,>99
11,M,17,>99,>99
12,M,17,>99,>99
13,M,17,>99,>99
14,M,17,>99,>99
15,M,17,>99,>99
16,M,17,>99,>99
17,M,17,>99,>99
18,M,17,>99,>99
19,M,17,>99,>99
20,M,17,>99,>99
21,M,17,>99,>99
22,M,17,>99,>99
23,M,17,>99,>99
24,M,17,>99,>99
25,M,17,>99,>99
26,M,17,>99,>99
27,M,17,>99,>99
28,M,17,>99,>99
29,M,17,>99,>99
30,M,17,>99,>99
31,M,17,>99,>99
32,M,17,>99,>99
33,M,17,>99,>99
34,M,17,>99,>99
35,M,17,>99,>99
36,M,17,>99,>99
37,M,17,>99,>99
38,M,17,>99,>99
39,M,17,>99,>99
40,M,17,>99,>99
41,M,17,>99,>99
42,M,17,>99,>99
43,M,17,>99,>99
44,M,17,>99,>99
45,M,17,>99,>99
0,M,18,90,90
1,M,18,95,92.5
2,M,18,96.25,95
3,M,18,97.5,95.833
4,M,18,98.75,96.667
5,M,18,99,97.5
6,M,18,>99,98.333
7,M,18,>99,99.167
8,M,18,>99,>99
9,M,18,>99,>99
10,M,18,>99,>99
11,M,18,>99,>99
12,M,18,>99,>99
13,M,18,>99,>99
14,M,18,>99,>99
15,M,18,>99,>99
16,M,18,>99,>99
17,M,18,>99,>99
18,M,18,>99,>99
19,M,18,>99,>99
20,M,18,>99,>99
21,M,18,>99,>99
22,M,18,>99,>99
23,M,18,>99,>99
24,M,18,>99,>99
25,M,18,>99,>99
26,M,18,>99,>99
27,M,18,>99,>99
28,M,18,>99,>99
29,M,18,>99,>99
30,M,18,>99,>99
31,M,18,>99,>99
32,M,18,>99,>99
33,M,18,>99,>99
34,M,18,>99,>99
35,M,18,>99,>99
36,M,18,>99,>99
37,M,18,>99,>99
38,M,18,>99,>99
39,M,18,>99,>99
40,M,18,>99,>99
41,M,18,>99,>99
42,M,18,>99,>99
43,M,18,>99,>99
44,M,18,>99,>99
45,M,18,>99,>99
0,M,19,90,85
1,M,19,95,90
2,M,19,96,92.5
3,M,19,97,95
4,M,19,98,95.714
5,M,19,99,96.429
6,M,19,>99,97.143
7,M,19,>99,97.857
8,M,19,>99,98.571
9,M,19,>99,99.286
10,M,19,>99,>99
11,M,19,>99,>99
12,M,19,>99,>99
13,M,19,>99,>99
14,M,19,>99,>99
15,M,19,>99,>99
16,M,19,>99,>99
17,M,19,>99,>99
18,M,19,>99,>99
19,M,19,>99,>99
20,M,19,>99,>99
21,M,19,>99,>99
22,M,19,>99,>99
23,M,19,>99,>99
24,M,19,>99,>99
25,M,19,>99,>99
26,M,19,>99,>99
27,M,19,>99,>99
28,M,19,>99,>99
29,M,19,>99,>99
30,M,19,>99,>99
31,M,19,>99,>99
32,M,19,>99,>99
33,M,19,>99,>99
34,M,19,>99,>99
35,M,19,>99,>99
36,M,19,>99,>99
37,M,19,>99,>99
38,M,19,>99,>99
39,M,19,>99,>99
40,M,19,>99,>99
41,M,19,>99,>99
42,M,19,>99,>99
43,M,19,>99,>99
44,M,19,>99,>99
45,M,19,>99,>99
0,M,20,90,80
1,M,20,95,90
2,M,20,95.714,91.667
3,M,20,96.429,93.333
4,M,20,97.143,95
5,M,20,97.857,95.625
6,M,20,98.571,96.25
7,M,20,99.286,96.875
8,M,20,>99,97.5
9,M,20,>99,98.125
10,M,20,>99,98.75
11,M,20,>99,99.375
12,M,20,>99,>99
13,M,20,>99,>99
14,M,20,>99,>99
15,M,20,>99,>99
16,M,20,>99,>99
17,M,20,>99,>99
18,M,20,>99,>99
19,M,20,>99,>99
20,M,20,>99,>99
21,M,20,>99,>99
22,M,20,>99,>99
23,M,20,>99,>99
24,M,20,>99,>99
25,M,20,>99,>99
26,M,20,>99,>99
27,M,20,>99,>99
