mcdi_wordforms_raw,gender,age,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
0,M,16,70,65
1,M,16,85,85
2,M,16,90,90
3,M,16,99,95
4,M,16,96,95.625
5,M,16,97,96.25
6,M,16,98,96.875
7,M,16,99,97.5
8,M,16,>99,98.125
9,M,16,>99,98.75
10,M,16,>99,99.375
11,M,16,>99,>99
12,M,16,>99,>99
13,M,16,>99,>99
14,M,16,>99,>99
15,M,16,>99,>99
16,M,16,>99,>99
17,M,16,>99,>99
18,M,16,>99,>99
19,M,16,>99,>99
20,M,16,>99,>99
21,M,16,>99,>99
22,M,16,>99,>99
23,M,16,>99,>99
24,M,16,>99,>99
25,M,16,>99,>99
0,M,17,70,65
1,M,17,75,75
2,M,17,90,90
3,M,17,92.5,92.5
4,M,17,95,95
5,M,17,95.833,95.556
6,M,17,96.667,96.111
7,M,17,97.5,96.667
8,M,17,98.333,97.222
9,M,17,99.167,97.778
10,M,17,>99,98.333
11,M,17,>99,98.889
12,M,17,>99,99.444
13,M,17,>99,>99
14,M,17,>99,>99
15,M,17,>99,>99
16,M,17,>99,>99
17,M,17,>99,>99
18,M,17,>99,>99
19,M,17,>99,>99
20,M,17,>99,>99
21,M,17,>99,>99
22,M,17,>99,>99
23,M,17,>99,>99
24,M,17,>99,>99
25,M,17,>99,>99
0,M,18,55,50
1,M,18,75,65
2,M,18,85,80
3,M,18,90,90
4,M,18,92.5,91.667
5,M,18,95,93.333
6,M,18,95.833,95
7,M,18,96.667,95.556
8,M,18,97.5,96.111
9,M,18,98.333,96.667
10,M,18,99.167,97.222
11,M,18,>99,97.778
12,M,18,>99,98.333
13,M,18,>99,98.889
14,M,18,>99,99.444
15,M,18,>99,>99
16,M,18,>99,>99
17,M,18,>99,>99
18,M,18,>99,>99
19,M,18,>99,>99
20,M,18,>99,>99
21,M,18,>99,>99
22,M,18,>99,>99
23,M,18,>99,>99
24,M,18,>99,>99
25,M,18,>99,>99
